img_path,alt_text
images/2024-07-16_europe-sketches-00.png,"Relaxing in Munich, (Jun 15-18)"
images/2024-07-16_europe-sketches-01.png,"Views in and around Innsbruck, (Jun 27-28)"
images/2024-07-16_europe-sketches-02.png,"Bern-Interlaken-Lucerne by Train (Jun 29)"
images/2024-07-16_europe-sketches-03.png,"Walking in Käferberdg, Zurich (Jun 30)"
images/2024-07-16_europe-sketches-04.png,"After dinner in Dijon (Jul 3)"
images/2024-07-16_europe-sketches-05.png,"Scenes on top of Innsbruck (Jul 5-6)"
images/2024-07-16_europe-sketches-06.png,"Berchtesgaden & Konigsee (Jul 6-7)"
images/2024-07-16_europe-sketches-07.png,"Before Dinner in Salzburg (Jul 11)"
images/2024-07-16_europe-sketches-08.png,"Gateway Gardens in Frankfurt (Jul 12)"
images/2024-07-16_europe-sketches-09.png,"Römer Platz in Frankfurt (Jul 12)"
images/2024-07-16_europe-sketches-10.png,"After dinner by the river in Frankfurt (Jul 12)"
images/2024-07-16_europe-sketches-11.png,"During dinner at Emma Metzler in Frankfurt (Jul 13)"
